"","Title","Prod_year","Is_sequel","Run_time","Creative_type","Source","Prod_method","Genre","Prod_budget","Dom_BO","Intl_BO","Total_BO","Infl_Adj_Dom_BO","MPAA_rating","Rel_date_TH","Keywords","Prod_company","Opening_rev","Opening_theaters"
"2797","Into the Wild",2007,0,149,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action","Drama",20000000,18354356,38468604,56822960,23673279,"R",2007-09-21,"Into the Wild - Journey of Discovery","Square One Entertianment",212440,4
"2798","The Game Plan",2007,0,110,"Contemporary Fiction","Original Screenplay","Live Action","Comedy",22000000,90648202,55942785,146590987,117199970,"PG",2007-09-28,"The Game Plan - Unexpected Families","Walt Disney Pictures",22950971,3103
"2799","The Kingdom",2007,0,111,"Contemporary Fiction","Original Screenplay","Live Action","Action",72500000,47467250,39042352,86509602,61403850,"R",2007-09-28,"The Kingdom - Terrorism","Universal Pictures",17135055,2793
"2800","Trade",2007,0,NA,"Dramatization","Based on Real Life Events","Live Action","Drama",12000000,214202,1299186,1513388,277093,"R",2007-09-28,NA,NA,118086,90
"2801","Se jie",2007,0,158,"Historical Fiction","Based on Fiction Book/Short Story","Live Action","Drama",15000000,4604982,60656309,65261291,5954759,"NC-17",2007-09-28,"Se jie - World War II",NA,63918,1
"2802","Lake of Fire",2007,0,NA,"Factual","Based on Real Life Events","Live Action","Documentary",6000000,25317,690,26007,32743,"Not Rated",2007-10-03,NA,NA,2559,1
"2803","Finishing the Game",2007,0,NA,"Contemporary Fiction","Original Screenplay","Live Action","Comedy",500000,52850,351,53201,68361,"Not Rated",2007-10-05,NA,NA,11903,1
"2804","The Good Night",2007,0,NA,"Contemporary Fiction","Original Screenplay","Live Action","Romantic Comedy",15000000,22441,0,22441,29023,"R",2007-10-05,"The Good Night - Romance",NA,12377,2
"2805","Control",2007,0,NA,"Dramatization","Based on Factual Book/Article","Live Action","Drama",6400000,871577,8030564,8902141,1126090,"R",2007-10-10,"Control - Music Industry",NA,27674,1
"2806","Lars and the Real Girl",2007,0,106,"Contemporary Fiction","Original Screenplay","Live Action","Comedy",12500000,5956480,5320639,11277119,7694735,"PG-13",2007-10-12,NA,NA,90418,7
"2807","Elizabeth: The Golden Age",2007,1,110,"Dramatization","Based on Real Life Events","Live Action","Drama",55000000,16285240,58585626,74870866,21066656,"PG-13",2007-10-12,"Elizabeth: The Golden Age - Royalty","Working Title",6153075,2001
"2808","Why Did I Get Married?",2007,0,118,"Contemporary Fiction","Based on Play","Live Action","Romantic Comedy",15000000,55204525,729653,55934178,71412826,"PG-13",2007-10-12,"Why Did I Get Married? - Relationship Advice",NA,21353789,2011
"2809","Michael Clayton",2007,0,120,"Contemporary Fiction","Original Screenplay","Live Action","Drama",21500000,49033882,43953769,92987651,62897172,"R",2007-10-12,"Michael Clayton - Lawyers","Clayton Productions, LLC",719910,15
"2810","We Own the Night",2007,0,118,"Contemporary Fiction","Original Screenplay","Live Action","Drama",28000000,28563179,26744678,55307857,36949454,"R",2007-10-12,"We Own the Night - Mafia",NA,10826287,2362
"2811","30 Days of Night",2007,0,113,"Fantasy","Based on Comic/Graphic Novel","Live Action","Horror",30000000,39568996,40707160,80276156,51186632,"R",2007-10-19,"30 Days of Night - Vampire","Mandate Pictures",15951902,2855
"2812","Arnolds Park",2007,0,NA,"Contemporary Fiction","Original Screenplay","Live Action","Thriller/Suspense",600000,23616,0,23616,30545,"PG-13",2007-10-19,"Arnolds Park - Prison",NA,7798,17
