"","Title","Prod_year","Is_sequel","Run_time","Creative_type","Source","Prod_method","Genre","Prod_budget","Dom_BO","Intl_BO","Total_BO","Infl_Adj_Dom_BO","MPAA_rating","Rel_date_TH","Keywords","Prod_company","Opening_rev","Opening_theaters"
"282","Friday the 13th Part VI: Jason Lives",1986,1,NA,"Fantasy",NA,"Live Action","Horror",3000000,19472057,0,19472057,46711935,NA,1986-08-01,"Friday the 13th Part VI: Jason Lives - Teenage Slasher",NA,6750837,1610
"283","Howard the Duck",1986,0,NA,"Science Fiction","Based on Comic/Graphic Novel","Live Action","Action",30000000,16295774,0,16295774,39092280,NA,1986-08-01,"Howard the Duck - Marvel Comics",NA,5070136,1554
"284","Stand by Me",1986,0,NA,"Historical Fiction","Based on Fiction Book/Short Story","Live Action","Drama",8000000,52287414,0,52287414,125433414,"R",1986-08-08,"Stand by Me - Coming of Age",NA,251628,16
"285","She's Gotta Have It",1986,0,NA,"Contemporary Fiction","Original Screenplay","Live Action","Comedy",175000,7137502,0,7137502,17122301,NA,1986-08-08,NA,NA,28473,1
"286","The Texas Chainsaw Massacre 2",1986,1,NA,"Contemporary Fiction","Remake","Live Action","Horror",4700000,8025872,0,8025872,19253432,NA,1986-08-22,NA,NA,2822439,1474
"287","Shanghai Surprise",1986,0,NA,NA,NA,NA,NA,17000000,2315000,0,2315000,5553502,NA,1986-08-29,NA,NA,0,0
"288","Crocodile Dundee",1986,0,97,"Contemporary Fiction","Original Screenplay","Live Action","Comedy",8800000,174803506,153400000,328203506,413791821,"PG-13",1986-09-26,"Crocodile Dundee - Country Mouse City Mouse",NA,8038855,879
"289","Playing for Keeps",1986,0,NA,"Contemporary Fiction","Original Screenplay","Live Action","Romantic Comedy",35000000,2000000,0,2e+06,4797839,NA,1986-10-03,NA,NA,1406300,1148
"290","Peggy Sue Got Married",1986,0,NA,"Fantasy","Original Screenplay","Live Action","Comedy",18000000,41382841,0,41382841,99274196,"PG-13",1986-10-10,"Peggy Sue Got Married - Time Travel",NA,6942408,865
"291","The Color of Money",1986,1,119,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action","Drama",10000000,52293000,0,52293000,124533829,"R",1986-10-17,"The Color of Money - Gambling","Touchstone Pictures",6357877,635
"292","Star Trek IV: The Voyage Home",1986,1,122,"Science Fiction","Based on TV","Live Action","Adventure",24000000,109713132,23286868,1.33e+08,260021804,"PG",1986-11-26,"Star Trek IV: The Voyage Home - Visual Effects",NA,16881888,1349
"293","The Golden Child",1986,0,93,"Fantasy","Original Screenplay","Live Action","Action",12000000,79817937,0,79817937,188370378,"PG-13",1986-12-12,NA,NA,11549711,1667
"294","Little Shop of Horrors",1986,0,NA,"Fantasy","Remake","Live Action","Musical",30000000,38747385,0,38747385,91285520,"PG-13",1986-12-19,"Little Shop of Horrors - Killer Plants",NA,3659884,866
"295","Platoon",1986,0,119,"Historical Fiction","Original Screenplay","Live Action","Drama",6000000,137963328,0,137963328,314672405,"R",1986-12-19,"Platoon - Vietnam War","Hemdale",0,0
"296","Witchboard",1986,0,NA,"Fantasy","Original Screenplay","Live Action","Horror",2000000,7369373,0,7369373,16927675,NA,1986-12-31,NA,NA,0,0
"297","American Ninja 2: The Confrontation",1987,1,NA,NA,"Original Screenplay","Live Action","Action",350000,4000000,0,4e+06,9104851,NA,1987-01-01,"American Ninja 2: The Confrontation - Cloning",NA,0,0
"298","Maurice",1987,0,140,"Historical Fiction","Based on Fiction Book/Short Story","Live Action","Drama",2600000,3147950,0,3147950,6239042,"R",1987-01-01,"Maurice - 1900s","Merchant Ivory Productions",0,0
"299","Radio Days",1987,0,NA,"Historical Fiction","Original Screenplay","Live Action","Comedy",16000000,14792779,0,14792779,33671539,NA,1987-01-30,NA,NA,1522423,128
"300","A Nightmare On Elm Street 3: Dream Warriors",1987,1,NA,"Fantasy","Original Screenplay","Live Action","Horror",5000000,44793222,0,44793222,101958996,"R",1987-02-27,"A Nightmare On Elm Street 3: Dream Warriors - Teenage Slasher",NA,8880555,1343
"301","Hollywood Shuffle",1987,0,NA,NA,NA,NA,NA,100000,5228617,0,5228617,11901454,NA,1987-03-01,NA,NA,0,0
"302","Lethal Weapon",1987,0,NA,"Contemporary Fiction","Original Screenplay","Live Action","Action",15000000,65192350,55000000,120192350,148391792,"R",1987-03-06,"Lethal Weapon - Buddy Cop",NA,6829949,1256
"303","Evil Dead II",1987,1,NA,"Fantasy",NA,"Live Action","Horror",3500000,5923044,0,5923044,13482121,NA,1987-03-13,"Evil Dead II - Time Travel",NA,807260,310
"304","The Barbarians",1987,0,NA,NA,NA,NA,NA,4000000,800000,0,8e+05,1820967,NA,1987-03-31,NA,NA,0,0
"305","Creepshow 2",1987,1,NA,"Fantasy","Based on Fiction Book/Short Story","Live Action","Horror",3500000,14000000,0,1.4e+07,31867002,NA,1987-05-01,"Creepshow 2 - Segments",NA,3584077,867
"306","Malone",1987,0,92,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action","Action",10000000,3000000,0,3e+06,6828641,"R",1987-05-01,NA,NA,1377691,1326
"307","River's Edge",1987,0,99,"Dramatization","Based on Real Life Events","Live Action","Thriller/Suspense",1900000,4600000,0,4600000,10470583,NA,1987-05-08,NA,NA,0,0
"308","Ishtar",1987,0,NA,"Contemporary Fiction","Original Screenplay","Live Action","Comedy",40000000,14375181,0,14375181,32720992,NA,1987-05-15,NA,NA,4331817,1139
"309","Beverly Hills Cop II",1987,1,102,"Contemporary Fiction","Original Screenplay","Live Action","Action",20000000,153665036,123000000,276665036,349774628,"R",1987-05-20,"Beverly Hills Cop II - Buddy Cop",NA,26348555,2326
"310","The Untouchables",1987,0,NA,"Dramatization","Based on TV","Live Action","Action",25000000,76270454,0,76270454,173607930,"R",1987-06-03,"The Untouchables - Mafia",NA,10023094,1012
"311","Predator",1987,0,107,"Science Fiction","Original Screenplay","Live Action","Action",18000000,59735548,38532010,98267558,135970934,"R",1987-06-12,"Predator - Humans as Prey",NA,12031638,1623
"312","The Brave Little Toaster",1987,0,91,"Kids Fiction","Based on Fiction Book/Short Story","Live Action","Adventure",2300000,0,0,0,0,"Not Rated",1987-06-19,NA,NA,0,0
"313","Spaceballs",1987,0,NA,"Science Fiction","Original Screenplay","Live Action","Comedy",22700000,38119483,0,38119483,86768129,NA,1987-06-24,"Spaceballs - Spoof",NA,6613837,1384
"314","Jaws 4: The Revenge",1987,1,NA,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action","Horror",23000000,15728335,0,15728335,35801069,"PG-13",1987-07-17,"Jaws 4: The Revenge - Animals Gone Bad",NA,7154890,1606
"315","RoboCop",1987,0,NA,"Science Fiction","Original Screenplay","Live Action","Action",13000000,53424681,0,53424681,121606049,"R",1987-07-17,"RoboCop - Dystopia",NA,8008721,1580
"316","Superman IV: The Quest for Peace",1987,1,NA,"Super Hero","Based on Comic/Graphic Novel","Live Action","Action",17000000,11227824,0,11227824,25556937,"PG",1987-07-24,"Superman IV: The Quest for Peace - D.C. Comics",NA,5683122,1511
"317","La Bamba",1987,0,NA,"Dramatization","Based on Real Life Events","Live Action","Drama",6500000,54215416,0,54215416,123405932,"PG-13",1987-07-24,"La Bamba - Biography",NA,5651990,1251
"318","The Living Daylights",1987,1,130,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action","Action",40000000,51185000,140015000,191200000,116508049,"PG",1987-07-31,"The Living Daylights - Secret Agent",NA,11051284,1728
"319","The Lost Boys",1987,0,NA,"Fantasy","Original Screenplay","Live Action","Horror",8500000,32222567,0,32222567,73345479,"R",1987-07-31,"The Lost Boys - Vampire",NA,5236318,1027
"320","The Offspring",1987,0,99,"Contemporary Fiction","Original Screenplay","Live Action","Horror",1100000,1355728,0,1355728,3085924,"R",1987-09-04,NA,NA,154991,55
"321","Fatal Attraction",1987,0,120,"Contemporary Fiction","Original Screenplay","Live Action","Thriller/Suspense",14000000,156645693,163454307,320100000,354444191,"R",1987-09-18,"Fatal Attraction - Relationships Gone Wrong","Jaffe-Lansing Production",7602740,758
"322","Hellraiser",1987,0,94,"Fantasy","Based on Fiction Book/Short Story","Live Action","Horror",1000000,14564000,11148,14575148,33150791,"R",1987-09-18,"Hellraiser - Demons",NA,4453232,1097
"323","The Princess Bride",1987,0,98,"Fantasy","Based on Fiction Book/Short Story","Live Action","Adventure",15000000,30857000,1487,30858487,70237154,"PG",1987-09-25,"The Princess Bride - Novel Adapted by Author",NA,206243,9
"324","Cry Freedom",1987,0,NA,"Dramatization","Based on Fiction Book/Short Story","Live Action","Drama",29000000,5899797,20000000,25899797,13247632,NA,1987-11-06,"Cry Freedom - Biography",NA,318723,27
"325","The Running Man",1987,0,NA,"Science Fiction","Based on Fiction Book/Short Story","Live Action","Action",30000000,38122000,0,38122000,86584727,"R",1987-11-13,"The Running Man - Post Apocalypse",NA,8117465,1692
"326","Teen Wolf Too",1987,1,94,"Contemporary Fiction","Original Screenplay","Live Action","Comedy",3000000,7888000,0,7888000,17954780,NA,1987-11-20,"Teen Wolf Too - Monster",NA,3009160,1540
"327","The Last Emperor",1987,0,219,"Dramatization","Based on Fiction Book/Short Story","Live Action","Drama",25000000,43984987,3901,43988888,96272421,"PG-13",1987-11-20,NA,NA,0,0
"328","3 Men and a Baby",1987,0,102,"Contemporary Fiction","Remake","Live Action","Comedy",15000000,167780960,0,167780960,373034164,"PG",1987-11-25,"3 Men and a Baby - Unexpected Families",NA,10384392,1006
"329","Wall Street",1987,0,125,"Contemporary Fiction","Original Screenplay","Live Action","Drama",16500000,43848100,0,43848100,98546923,"R",1987-12-11,"Wall Street - Wall Street",NA,4104611,730
"330","Good Morning Vietnam",1987,0,120,"Historical Fiction","Original Screenplay","Live Action","Comedy",13000000,123922370,0,123922370,268599294,"R",1987-12-23,"Good Morning Vietnam - Radio Industry",NA,0,0
"331","Return of the Living Dead Part II",1988,1,NA,"Fantasy",NA,"Live Action","Horror",6200000,9205924,0,9205924,19934968,NA,1988-01-15,"Return of the Living Dead Part II - Zombies",NA,3647254,1467
"332","Action Jackson",1988,0,NA,"Contemporary Fiction","Original Screenplay","Live Action","Action",7000000,20257000,0,20257000,43680648,"R",1988-02-12,NA,NA,5424783,1249
"333","School Daze",1988,0,120,"Contemporary Fiction","Original Screenplay","Live Action","Drama",6000000,14545844,0,14545844,31498293,"R",1988-02-12,NA,"Forty Acres and a Mule",1802656,220
"334","Bloodsport",1988,0,NA,"Contemporary Fiction","Original Screenplay","Live Action","Action",1500000,11806119,0,11806119,25565562,"R",1988-02-26,"Bloodsport - Martial Arts",NA,0,0
"335","Prison",1988,0,NA,NA,"Original Screenplay","Live Action","Horror",4000000,354704,0,354704,768088,NA,1988-03-04,NA,NA,0,0
"336","Beetlejuice",1988,0,92,"Contemporary Fiction","Original Screenplay","Live Action","Comedy",15000000,73326666,0,73326666,158785229,"PG",1988-03-30,"Beetle Juice - Hauntings","Geffen Film",8030897,1000
"337","Bright Lights, Big City",1988,0,NA,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action","Drama",25000000,16118077,0,16118077,34902890,"R",1988-04-01,NA,"Mirage",5126791,1196
"338","Lady in White",1988,0,NA,"Fantasy","Original Screenplay","Live Action","Horror",4700000,1705139,0,1705139,3692388,NA,1988-04-22,NA,NA,0,0
"339","Friday the 13th Part VII: The New Blood",1988,1,NA,"Fantasy",NA,"Live Action","Horror",2800000,19170001,0,19170001,41511674,"R",1988-05-13,"Friday the 13th Part VII: The New Blood - Teenage Slasher",NA,8245038,1796
"340","Rambo III",1988,1,NA,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action","Action",58000000,53715611,135000000,188715611,116318470,"R",1988-05-25,"Rambo III - War",NA,16745418,2562
"341","Crocodile Dundee 2",1988,1,108,"Contemporary Fiction","Original Screenplay","Live Action","Adventure",14000000,109306210,130300000,239606210,236697138,"PG",1988-05-25,"Crocodile Dundee 2 - Narcotics",NA,24462976,2837
"342","Big",1988,0,104,"Fantasy","Original Screenplay","Live Action","Comedy",18000000,114968774,36700000,151668774,249116331,"PG",1988-06-03,"Big - Body Swap","Gracie Films",8216190,1132
"343","Poltergeist III",1988,1,NA,"Fantasy","Original Screenplay","Live Action","Horror",9500000,14114000,0,14114000,30563161,"PG-13",1988-06-10,NA,NA,4344308,1471
"344","Who Framed Roger Rabbit?",1987,0,103,"Fantasy","Based on Fiction Book/Short Story","Animation/Live Action","Adventure",70000000,154112492,197387508,351500000,333882058,"PG",1988-06-22,"Who Framed Roger Rabbit? - Visual Effects","Touchstone Pictures",11226239,1045
"345","Phantasm II",1988,1,NA,"Fantasy",NA,"Live Action","Horror",3000000,7282851,0,7282851,15770649,NA,1988-07-08,"Phantasm II - Delayed Sequel",NA,3012285,1227
"346","Die Hard",1988,0,NA,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action","Action",28000000,81350242,57759104,139109346,176583245,"R",1988-07-15,"Die Hard - Hostage","Silver Pictures",0,0
"347","Midnight Run",1988,0,NA,"Contemporary Fiction","Original Screenplay","Live Action","Action",30000000,38413606,43200000,81613606,83182746,"R",1988-07-20,"Midnight Run - Mafia",NA,5506290,1158
"348","The Last Temptation of Christ",1988,0,NA,"Historical Fiction","Based on Religious Text","Live Action","Drama",7000000,8373585,0,8373585,18132575,NA,1988-08-12,"The Last Temptation of Christ - Religious",NA,401211,9
"349","Young Guns",1988,0,100,"Historical Fiction","Original Screenplay","Live Action","Western",13000000,44726644,0,44726644,96853316,"R",1988-08-12,NA,NA,7011393,1387
"350","A Nightmare on Elm Street 4: The Dream Master",1988,1,NA,"Fantasy","Original Screenplay","Live Action","Horror",13000000,49369899,0,49369899,106908046,"R",1988-08-19,"A Nightmare on Elm Street 4: The Dream Master - Teenage Slasher",NA,12833403,1765
"351","Halloween 4: The Return of Michael Myers",1988,1,NA,"Fantasy",NA,"Live Action","Horror",5000000,17768757,0,17768757,38477352,"R",1988-10-01,"Halloween 4: The Return of Michael Myers - Teenage Slasher",NA,0,0
"352","Mystic Pizza",1988,0,NA,"Contemporary Fiction","Original Screenplay","Live Action","Comedy",6000000,12793213,0,12793213,27893828,"R",1988-10-21,NA,NA,1163939,401
"353","They Live",1988,0,NA,"Science Fiction","Based on Fiction Book/Short Story","Live Action","Thriller/Suspense",4000000,13000000,0,1.3e+07,28150851,"R",1988-11-04,"They Live - Advertising and Marketing",NA,4827903,1463
"354","Child's Play",1988,0,NA,"Fantasy","Original Screenplay","Live Action","Horror",9000000,33244684,10952000,44196684,72283183,"R",1988-11-09,"Child's Play - Living Toys",NA,6583963,1377
"355","The Land Before Time",1988,0,69,"Historical Fiction","Original Screenplay","Hand Animation","Adventure",12300000,48092846,33880000,81972846,104466714,"G",1988-11-18,NA,"Amblin Entertainment",7526025,1395
"356","Scrooged",1988,0,NA,"Fantasy","Based on Fiction Book/Short Story","Live Action","Comedy",32000000,59450353,0,59450353,129032031,"PG-13",1988-11-23,"Scrooged - Christmas",NA,13027842,1262
"357","Talk Radio",1988,0,NA,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action","Drama",4000000,3468572,0,3468572,7706706,NA,1988-12-01,"Talk Radio - Radio Industry",NA,0,0
"358","My Stepmother Is an Alien",1988,0,NA,"Science Fiction","Original Screenplay","Live Action","Comedy",16000000,13854000,0,13854000,30565128,"PG-13",1988-12-09,"My Stepmother Is an Alien - Friendly Alien on Earth",NA,2066980,1106
"359","Twins",1988,0,105,"Contemporary Fiction","Original Screenplay","Live Action","Comedy",15000000,111936388,104663612,216600000,244921984,"PG",1988-12-09,"Twins - Cloning",NA,11174980,1396
"360","Rain Man",1988,0,133,"Contemporary Fiction","Original Screenplay","Live Action","Comedy",25000000,172825435,239974565,412800000,382427945,"R",1988-12-16,"Rain Man - Road Trip",NA,7005719,1248
"361","Dangerous Liaisons",1988,0,NA,"Historical Fiction","Based on Fiction Book/Short Story","Live Action","Drama",14000000,34700000,0,34700000,77268385,"R",1988-12-21,NA,NA,0,0
"362","Bill & Ted's Excellent Adventure",1989,0,90,"Science Fiction","Original Screenplay","Live Action","Adventure",10000000,40485039,0,40485039,90304971,"PG",1989-02-17,"Bill & Ted's Excellent Adventure - Time Travel",NA,6167651,1196
"363","New York Stories",1989,0,NA,"Contemporary Fiction","Original Screenplay","Live Action","Drama",15000000,10763469,0,10763469,24008738,"PG",1989-03-01,"New York Stories - Segments",NA,0,0
"364","Troop Beverly Hills",1989,0,NA,"Contemporary Fiction","Original Screenplay","Live Action","Comedy",18000000,7190505,0,7190505,16038966,NA,1989-03-22,NA,NA,2283443,964
"365","Major League",1989,0,NA,"Contemporary Fiction","Original Screenplay","Live Action","Comedy",11000000,49793054,0,49793054,111067212,"R",1989-04-07,"Major League - Baseball",NA,8836265,1541
"366","Pet Sematary",1989,0,NA,"Fantasy","Based on Fiction Book/Short Story","Live Action","Horror",11500000,57469179,0,57469179,128189397,"R",1989-04-21,"Pet Sematary - Novel Adapted by Author",NA,12046179,1585
"367","Road House",1989,0,NA,"Contemporary Fiction","Original Screenplay","Live Action","Action",10000000,30050028,0,30050028,67028882,"R",1989-05-19,NA,NA,5957656,1927
"368","Indiana Jones and the Last Crusade",1989,1,127,"Fantasy","Original Screenplay","Live Action","Adventure",48000000,197171806,277000000,474171806,439806779,"PG-13",1989-05-24,"Indiana Jones and the Last Crusade - Treasure Hunters","Lucasfilm",37031573,2327
"369","Dead Poets Society",1989,0,128,"Contemporary Fiction","Original Screenplay","Live Action","Drama",16400000,95860116,143639884,239500000,213823310,"PG",1989-06-02,"Dead Poets' Society - Boarding School",NA,0,0
"370","Star Trek V: The Final Frontier",1989,1,NA,"Science Fiction","Based on TV","Live Action","Action",30000000,52210049,17989951,70200000,116458503,"PG",1989-06-09,"Star Trek V: The Final Frontier - Visual Effects",NA,17375648,2202
"371","Batman",1989,0,121,"Super Hero","Based on Comic/Graphic Novel","Live Action","Action",35000000,251188924,160160000,411348924,560296091,"PG-13",1989-06-23,"Batman - Visual Effects","Guber-Peters",40489746,2194
"372","Do the Right Thing",1989,0,120,"Contemporary Fiction","Original Screenplay","Live Action","Comedy",6000000,26004026,0,26004026,58003961,"R",1989-06-30,"Do the Right Thing - Black Urban","40 Acres and a Mule Filmworks",3563535,353
"373","When Harry Met Sally…",1989,0,NA,"Contemporary Fiction","Original Screenplay","Live Action","Romantic Comedy",16000000,92823546,138414,92961960,207050009,"R",1989-07-14,"When Harry Met Sally… - Romance",NA,0,0
"374","Licence to Kill",1989,1,133,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action","Action",42000000,34667015,121500000,156167015,77327419,"PG-13",1989-07-14,"License to Kill - Secret Agent",NA,8774776,1575
"375","UHF",1989,0,NA,"Contemporary Fiction","Original Screenplay","Live Action","Comedy",5000000,6157157,0,6157157,13734008,NA,1989-07-21,"UHF - TV Industry",NA,0,0
"376","Friday the 13th Part VIII: Jason Takes Manhattan",1989,1,NA,"Fantasy",NA,"Live Action","Horror",5000000,14343976,0,14343976,31995331,"R",1989-07-28,"Friday the 13th Part VIII: Jason Takes Manhattan - Teenage Slasher",NA,6251310,1683
"377","Sex, Lies, and Videotape",1989,0,NA,NA,NA,NA,NA,1200000,24741667,12000000,36741667,55188179,"R",1989-08-04,NA,NA,0,0
"378","The Abyss",1989,0,140,"Science Fiction","Original Screenplay","Live Action","Action",70000000,54243125,0,54243125,120993435,"PG-13",1989-08-09,"The Abyss - Underwater","20th Century Fox",9319797,1533
"379","A Nightmare On Elm Street: The Dream Child",1989,1,NA,"Fantasy","Original Screenplay","Live Action","Horror",6000000,22168359,0,22168359,49448213,"R",1989-08-11,"A Nightmare On Elm Street: The Dream Child - Teenage Slasher",NA,8115176,1902
"380","Kickboxer",1989,0,NA,"Contemporary Fiction","Original Screenplay","Live Action","Action",1500000,14533681,0,14533681,32418481,"R",1989-09-08,"Kickboxer - Martial Arts",NA,4134098,973
"381","Sea of Love",1989,0,113,"Contemporary Fiction","Original Screenplay","Live Action","Thriller/Suspense",19000000,58571513,0,58571513,130648235,"R",1989-09-15,"Sea of Love - Film Noir","Martin Bregman",10017840,1246
"382","Black Rain",1989,0,125,"Contemporary Fiction","Original Screenplay","Live Action","Thriller/Suspense",30000000,45892212,0,45892212,102366082,"R",1989-09-22,"Black Rain - Mafia","Jaffe Lansing",9677102,1610
"383","Halloween 5: The Revenge of Michael Myers",1989,1,NA,"Fantasy",NA,"Live Action","Horror",6000000,11642254,0,11642254,25968936,"R",1989-10-13,"Halloween 5: The Revenge of Michael Myers - Teenage Slasher",NA,5093428,1483
"384","Henry V",1989,0,NA,"Historical Fiction","Based on Play","Live Action","Action",9000000,10161099,15602,10176701,21980348,"PG-13",1989-11-08,NA,NA,0,0
"385","Harlem Nights",1989,0,115,"Historical Fiction","Original Screenplay","Live Action","Comedy",30000000,60857262,35000000,95857262,135125015,"R",1989-11-17,"Harlem Nights - African-American",NA,16096808,2180
"386","Back to the Future Part II",1989,1,108,"Science Fiction","Original Screenplay","Live Action","Adventure",40000000,118450002,213549998,3.32e+08,262434015,"PG",1989-11-22,"Back to the Future Part II - Time Travel","Amblin Entertainment",27835125,1865
"387","Driving Miss Daisy",1989,0,99,"Historical Fiction","Based on Play","Live Action","Drama",7500000,106593296,0,106593296,225363246,"PG",1989-12-13,NA,"The Zanuck Company",0,0
"388","Glory",1989,0,NA,"Dramatization","Based on Fiction Book/Short Story","Live Action","Action",18000000,26593580,0,26593580,56515765,"R",1989-12-13,"Glory - Historical Battles",NA,63661,3
"389","We're No Angels",1989,0,NA,"Contemporary Fiction","Based on Play","Live Action","Comedy",20000000,10555348,0,10555348,23544505,"PG-13",1989-12-15,NA,NA,2047630,1239
"390","Roger & Me",1989,0,NA,"Factual","Based on Real Life Events","Live Action","Documentary",140000,6706368,0,6706368,14184224,NA,1989-12-20,NA,NA,84232,4
"391","Born on the Fourth of July",1989,0,144,"Dramatization","Based on Fiction Book/Short Story","Live Action","Drama",14000000,70001698,0,70001698,148215118,"R",1989-12-20,"Born on the Fourth of July - Returning Soldiers","A. Kitman Ho & Ixlan",172021,4
"392","Tango & Cash",1989,0,NA,"Contemporary Fiction","Original Screenplay","Live Action","Action",55000000,63408614,0,63408614,136579774,"R",1989-12-22,"Tango & Cash - Buddy Cop",NA,6628918,1409
"393","Tremors",1990,0,NA,"Science Fiction","Original Screenplay","Live Action","Action",10000000,16667084,0,16667084,35150951,"PG-13",1990-01-19,"Tremors - Creature Features",NA,3731520,1472
"394","The Blood of Heroes",1990,0,NA,NA,"Original Screenplay","Live Action","Action",7700000,882290,0,882290,1860750,NA,1990-02-23,"The Blood of Heroes - Post Apocalypse",NA,0,0
"395","The Hunt for Red October",1990,0,134,"Historical Fiction","Based on Fiction Book/Short Story","Live Action","Thriller/Suspense",30000000,120709866,79790134,200500000,254577674,"PG",1990-03-02,"The Hunt for Red October - Underwater","Mace Neufeld",17161835,1225
"396","Pretty Woman",1990,0,119,"Contemporary Fiction","Original Screenplay","Live Action","Romantic Comedy",14000000,178406268,254239604,432645872,376259657,"R",1990-03-23,"Pretty Woman - Prostitution","Touchstone Pictures",11280591,1325
"397","Teenage Mutant Ninja Turtles",1990,0,93,"Fantasy","Based on TV","Live Action","Adventure",13500000,135265915,66734085,2.02e+08,285276453,"PG",1990-03-30,"Teenage Mutant Ninja Turtles - Mutants",NA,25398367,2006
"398","Spaced Invaders",1990,0,100,"Science Fiction","Original Screenplay","Live Action","Adventure",3000000,15000000,0,1.5e+07,31635068,"PG",1990-04-27,"Spaced Invaders - Alien Invasion",NA,4474336,1821
"399","Back to the Future Part III",1990,1,119,"Science Fiction","Original Screenplay","Live Action","Adventure",40000000,88055283,156033371,244088654,185709002,"PG",1990-05-24,"Back to the Future Part III - Time Travel","Amblin Entertainment",23703060,2019
"400","Total Recall",1990,0,113,"Science Fiction","Based on Fiction Book/Short Story","Live Action","Action",65000000,119394839,142005161,261400000,251793077,"R",1990-06-01,"Total Recall - Visual Effects",NA,25533700,2060
"401","Gremlins 2: The New Batch",1990,1,106,"Fantasy","Original Screenplay","Live Action","Comedy",50000000,41476097,0,41476097,87473285,"PG-13",1990-06-15,"Gremlins 2: The New Batch - Visual Effects","Warner Bros.",9702804,2075
"402","Dick Tracy",1990,0,103,"Super Hero","Based on Comic/Graphic Novel","Live Action","Action",47000000,103738726,59000000,162738726,218785460,"PG",1990-06-15,"Dick Tracy - Comic Strip","Touchstone Pictures",22543911,2332
"403","Days of Thunder",1990,0,107,"Contemporary Fiction","Original Screenplay","Live Action","Action",60000000,82670733,75000000,157670733,174352967,"PG-13",1990-06-27,"Days of Thunder - Auto Racing","Don Simpson and Jerry Bruckheimer",15490445,2307
"404","Die Hard 2",1990,0,124,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action","Action",70000000,117323878,122490147,239814025,247436607,"R",1990-07-03,"Die Hard 2 - Terrorism","Silver Pictures",21744661,2507
"405","The Adventures of Ford Fairlane",1990,0,102,NA,"Original Screenplay","Live Action","Comedy",49000000,20423389,0,20423389,43073019,"R",1990-07-11,"The Adventures of Ford Fairlane - Private Investigator","Silver Pictures",6374391,1245
"406","Ghost",1990,0,127,"Contemporary Fiction","Original Screenplay","Live Action","Drama",22000000,217631306,299968694,517600000,458985451,"PG-13",1990-07-13,"Ghost - Hauntings",NA,12191373,1101
"407","Arachnophobia",1990,0,105,"Science Fiction","Original Screenplay","Live Action","Thriller/Suspense",31000000,53208180,0,53208180,112216300,"PG-13",1990-07-18,"Arachnophobia - Animals Gone Bad","Amblin Entertainment",8045760,1479
"408","Metropolitan",1990,0,98,"Contemporary Fiction","Original Screenplay","Live Action","Comedy",430000,2938000,0,2938000,6172773,"PG-13",1990-08-03,"Metropolitan - Debutante","Westerly Films",0,0
"409","Mo' Better Blues",1990,0,129,"Contemporary Fiction","Original Screenplay","Live Action","Drama",10000000,16153000,0,16153000,34066753,"R",1990-08-03,"Mo' Better Blues - Musicians","40 Acres and a Mule Filmworks",4387360,544
"410","Flatliners",1990,0,114,"Science Fiction","Original Screenplay","Live Action","Thriller/Suspense",26000000,61308153,0,61308153,129299182,"R",1990-08-10,"Flatliners - Remade",NA,10034685,1319
"411","Goodfellas",1990,0,146,"Dramatization","Based on Fiction Book/Short Story","Live Action","Drama",25000000,46743809,33538,46777347,98647200,"R",1990-09-19,"Goodfellas - Mafia",NA,6368901,1070
"412","Dark Angel",1990,0,NA,"Science Fiction","Original Screenplay","Live Action","Action",7000000,4372561,0,4372561,9221744,NA,1990-09-28,NA,NA,1912421,1041
"413","Night of the Living Dead",1990,0,NA,"Fantasy","Remake","Live Action","Horror",4200000,5835247,0,5835247,12306555,"R",1990-10-19,"Night of the Living Dead - Zombies",NA,2884679,1544
"414","Quigley Down Under",1990,0,119,"Historical Fiction","Original Screenplay","Live Action","Western",20000000,21413105,0,21413105,45160336,"PG-13",1990-10-19,NA,NA,3853149,996
"415","Child's Play 2",1990,1,NA,"Fantasy","Original Screenplay","Live Action","Horror",13000000,26904572,7262000,34166572,56741861,"R",1990-11-09,"Child's Play 2 - Living Toys",NA,10718520,1996
"416","Dances with Wolves",1990,0,181,"Historical Fiction","Based on Fiction Book/Short Story","Live Action","Western",19000000,184208842,239991158,424200000,389018537,"PG-13",1990-11-09,"Dances with Wolves - Culture Clash","Tig Productions",598257,14
"417","Home Alone",1990,0,103,"Contemporary Fiction","Original Screenplay","Live Action","Comedy",15000000,285761243,190923432,476684675,603216866,"PG",1990-11-16,"Home Alone - Christmas",NA,17081997,1202
"418","Predator 2",1990,1,NA,"Science Fiction","Original Screenplay","Live Action","Action",35000000,28317513,26450905,54768418,59721768,"R",1990-11-21,NA,NA,8784943,1950
